line_number,timestamp,hostname,service,event_type,severity,source_ip,username,raw
1,Jun 14 15:16:01,combo,sshd(pam_unix),Auth Failure,HIGH,218.188.2.4,,Jun 14 15:16:01 combo sshd(pam_unix)[19939]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4
2,Jun 14 15:16:02,combo,sshd(pam_unix),Unknown User,MEDIUM,,,Jun 14 15:16:02 combo sshd(pam_unix)[19937]: check pass; user unknown
3,Jun 14 15:16:02,combo,sshd(pam_unix),Auth Failure,HIGH,218.188.2.4,,Jun 14 15:16:02 combo sshd(pam_unix)[19937]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4
4,Jun 15 02:04:59,combo,sshd(pam_unix),Auth Failure,HIGH,220-135-151-1.hinet-ip.hinet.net,root,Jun 15 02:04:59 combo sshd(pam_unix)[20882]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net  user=root
5,Jun 15 02:04:59,combo,sshd(pam_unix),Auth Failure,HIGH,220-135-151-1.hinet-ip.hinet.net,root,Jun 15 02:04:59 combo sshd(pam_unix)[20884]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net  user=root
6,Jun 15 02:04:59,combo,sshd(pam_unix),Auth Failure,HIGH,220-135-151-1.hinet-ip.hinet.net,root,Jun 15 02:04:59 combo sshd(pam_unix)[20883]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net  user=root
7,Jun 15 02:04:59,combo,sshd(pam_unix),Auth Failure,HIGH,220-135-151-1.hinet-ip.hinet.net,root,Jun 15 02:04:59 combo sshd(pam_unix)[20885]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net  user=root
8,Jun 15 02:04:59,combo,sshd(pam_unix),Auth Failure,HIGH,220-135-151-1.hinet-ip.hinet.net,root,Jun 15 02:04:59 combo sshd(pam_unix)[20886]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net  user=root
9,Jun 15 02:04:59,combo,sshd(pam_unix),Auth Failure,HIGH,220-135-151-1.hinet-ip.hinet.net,root,Jun 15 02:04:59 combo sshd(pam_unix)[20892]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net  user=root
10,Jun 15 02:04:59,combo,sshd(pam_unix),Auth Failure,HIGH,220-135-151-1.hinet-ip.hinet.net,root,Jun 15 02:04:59 combo sshd(pam_unix)[20893]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net  user=root
